In a layered approach to OS design, the bottom layer (layer 0) represents ________.	the hardware		
"Give the pseudo-code for Decker's algorithm:"		# Shared data bool wantsToEnter[2] = [false, false]; int turn = 0; # Process 1 (example) wantsToEnter[0] = true; while(wantsToEnter[1] == true) { if(turn != 0) { wantsToEnter[0] = false; while(turn != 0) { /* Busy wait… */ } wantsToEnter[0] = true; } } /* Start and finish critical section… */ turn = 1; wantsToEnter[0] = false;	
"What 2 shared variables are used in Decker's algorithm?"	1. wantsToEnter: A two-element array of flags to indicate which processes wish to enter their critical sections. Both flags initialize to false. 2. turn: An integer used by each process to indicate which process should be given priority to execute its critical section. Can be initialized to either 0 or 1.		# Shared data bool wantsToEnter[2] = [false, false]; int turn = 0;
"What problem is solved by Decker's algorithm?"	"Decker's algorithm allows exactly 2 processes to coordinate the ordering of execution of their critical sections (i.e., use of a shared system resource)—enforcing mutual exclusion. The 2 processes use shared memory (variables) to communicate their intentions to each other."		
"What blocking mechanism is used by Decker's algorithm to control execution?"	Busy-waiting.	while(turn != 0) { /* Busy wait… */ }	
"Give the pseudo-code for Peterson's algorithm:"		# Shared data bool wantsToEnter[2] = [false, false]; int turn = 0; # Process 1 (example) wantsToEnter[0] = true; turn = 1; while(wantsToEnter[1] == true && turn == 1) { // Busy wait… } /* Start and finish critical section… */ wantsToEnter[0] = false;	
In a uniprocessor system, we could solve the critical section problem trivially by ________.	disabling interrupts whenever a process enters its critical section.		This is the approach taken by non-preemptive kernels.
Give the pseudo-code for the TestAndSet() processor instruction:	boolean TestAndSet(boolean *target) { boolean value = *target; *target = true; return value; }		
"Why isn't it desireable on multiprocessor systems to simply disable interrupts when a process enters a critical section?"	Disabling interrupts on a multiprocessor can be time-consuming, as one processor needs to signal to all other processors that it wishes to disable interrupts. This would delay execution and decrease overall system performance.		
What do we mean when we say that some set of actions are performed atomically?	We mean that the actions are performed together in one uninterrupted unit of work.		
What machine instruction is offered by some architectures to atomically implement locks?	The TestAndSet instruction*.		*Note that the instruction may be named different on different architectures.
Give the pseudo-code for an algorithm that uses the TestAndSet() instruction to solve the critical-section problem in a way that satisfies 3 requirements: 1. Mutual exclusion. 2. Progress. 3. Bounded-waiting.		// Shared data boolean waiting[n]; boolean lock; // Process 1 (example) while(True) { waiting[i] = True; key = True; while(waiting[i] == True && key == True) { key = TestAndSet(&lock); } waiting[i] = False; // Critical section int j = (i + 1) % n; while((j != i) && waiting[j] == False) { j = (j + 1) % n; } if(j == i) { lock = False; } else { waiting[j] = False; } // Remainder section }	
